,nombre,entrada,salida,salario/h
0,Devika,09:58:00,17:37:00,25
1,Deepti,09:53:00,17:12:00,27
2,Agni,09:01:00,17:46:00,27
3,Kasi,09:35:00,17:09:00,27
4,Candravali,09:31:00,17:59:00,17
5,Aruna,09:03:00,17:38:00,19
6,Neelam,09:00:00,17:21:00,10
7,Indrajit,09:07:00,17:40:00,23
8,Kamala,09:49:00,17:12:00,15
9,Chiranjeevi,09:39:00,17:24:00,22
10,Ganesha,09:11:00,17:58:00,15
11,Lochana,09:50:00,17:28:00,28
12,Harisha,09:17:00,17:15:00,30
13,Anish,09:24:00,17:02:00,22
14,Niraj,09:10:00,17:05:00,28
15,Nitin,09:36:00,17:07:00,25
16,Kalidas,09:39:00,17:49:00,14
17,Amar,09:42:00,17:17:00,12
18,Geevarghese,09:55:00,17:46:00,27
19,Nila,09:45:00,17:48:00,17
20,Mani,09:44:00,17:09:00,25
21,Maninder,09:53:00,17:00:00,18
22,Nisha,09:52:00,17:13:00,19
23,Ajith,09:48:00,17:01:00,22
24,Devaki,09:32:00,17:49:00,24
25,Lilavady,09:12:00,17:59:00,15
26,Kishor,09:40:00,17:09:00,22
27,Gowri,09:40:00,17:15:00,25
28,Mira,09:31:00,17:50:00,20
29,Deepak,09:51:00,17:55:00,22
30,Nilam,09:46:00,17:08:00,22
31,Hemachandra,09:45:00,17:30:00,25
32,Govinda,09:46:00,17:55:00,12
33,Karan,09:28:00,17:53:00,30
34,Dipak,09:00:00,17:38:00,19
35,Mukul,09:15:00,17:44:00,25
36,Harendra,09:32:00,17:01:00,13
37,Kunala,09:25:00,17:18:00,27
38,Mahesha,09:48:00,17:58:00,26
39,Nitia,09:15:00,17:02:00,28
40,Dayanand,09:18:00,17:50:00,26
41,Nikhil,09:28:00,17:33:00,22
42,Madhur,09:45:00,17:15:00,17
43,Avani,09:16:00,17:56:00,29
44,Mani,09:31:00,17:51:00,19
45,Kishori,09:23:00,17:41:00,24
46,Carma,09:36:00,17:12:00,11
47,Kanta,09:38:00,17:55:00,14
48,Anantha,09:31:00,17:45:00,30
49,Nalini,09:40:00,17:25:00,25
50,Kshitij,09:36:00,17:19:00,20
51,Keya,09:13:00,17:58:00,25
52,Chitra,09:30:00,17:50:00,21
53,Kiran,09:33:00,17:52:00,19
54,Kessavamohane,09:24:00,17:49:00,25
55,Deepak,09:07:00,17:28:00,30
56,Carpanin,09:46:00,17:39:00,28
57,Devika,09:47:00,17:44:00,18
58,Djagarajen,09:20:00,17:04:00,30
59,Kesaven,09:45:00,17:19:00,30
60,Kistna,09:03:00,17:58:00,16
61,Mayur,09:55:00,17:15:00,12
62,Jagjit,09:05:00,17:08:00,29
63,Buddha,09:42:00,17:15:00,20
64,Nitya,09:42:00,17:50:00,27
65,Bishen,09:31:00,17:17:00,20
66,Nagendra,09:31:00,17:03:00,16
67,Ajit,09:07:00,17:57:00,12
68,Kumara,09:23:00,17:36:00,26
69,Kunti,09:56:00,17:19:00,29
70,Ananta,09:03:00,17:29:00,19
71,Nagendra,09:16:00,17:34:00,25
72,Anupama,09:04:00,17:21:00,22
73,Mounoussamy,09:02:00,17:38:00,13
74,Nilam,09:28:00,17:43:00,15
75,Dalini,09:09:00,17:48:00,25
76,Gayatri,09:01:00,17:17:00,27
77,Kishore,09:05:00,17:06:00,24
78,Chandrakant,09:55:00,17:31:00,30
79,Narinder,09:43:00,17:09:00,27
80,Adhik,09:07:00,17:38:00,16
81,Ajay,09:26:00,17:59:00,18
82,Kesaven,09:32:00,17:48:00,21
83,Madhukar,09:08:00,17:08:00,26
84,Jagdish,09:16:00,17:00:00,30
